letter,count
Å,9586
ö,4379869
å,3786914
ä,5210070
é,38970
í,3203
á,5161
ó,2728
Ä,26718
Ö,13323
º,93
è,3231
ø,303
ã,500
ô,94
ê,369
ü,3593
Á,305
ç,1062
ò,326
ë,179
à,546
ñ,565
ú,942
æ,255
É,92
ï,355
ß,315
Ü,18
â,71
À,4
Í,142
ì,16
²,11
Ç,13
Ø,2
_,37
õ,20
ý,79
Ý,4
Ó,91
Α,33
ă,317
ş,252
š,545
č,609
Ι,32
Ν,14
Ε,39
ő,201
ł,461
ń,369
ś,46
Š,661
ż,69
ė,182
Č,41
Ž,48
ř,84
ę,92
Є,1
а,20
і,3
є,1
ї,2
ĺ,11
Ś,17
ľ,98
ļ,1
Κ,8
ā,7
Ő,89
ň,75
ī,52
Ľ,3
ů,2
ž,86
ź,19
ć,183
Ģ,13
ť,8
ą,14
ě,13
Ş,14
ū,71
δ,9
ε,16
ί,8
ή,7
χ,6
ρ,19
η,10
μ,7
ά,4
τ,13
ν,9
ğ,74
Β,10
ı,9
β,4
ŭ,3
ţ,43
Ţ,108
Đ,10
Ì,1
ǎ,6
Ł,12
Ρ,1
Ř,2
σ,16
υ,6
α,13
λ,6
γ,3
ι,14
ς,9
È,1
ē,4
œ,3
ĉ,1
ώ,2
κ,5
ύ,2
Π,2
ό,3
ο,9
έ,5
φ,1
ņ,3
ŵ,1
ζ,1
у,2
Ć,1
ō,1
Υ,3
π,6
ʼ,12
¾,2
ÿ,1
Ú,1
